Epoch: 54, disc_loss:  0.19734356729084984, gen_loss: 0.5894373731864126: : 1000it [17:23,  1.04s/it]   
Epoch: 55, disc_loss:  0.17773198360936684, gen_loss: 0.5911520260415579: : 1000it [17:22,  1.04s/it]   
Epoch: 56, disc_loss:  0.19258893831780083, gen_loss: 0.5913273196053087: : 1000it [17:20,  1.04s/it]   
Epoch: 57, disc_loss:  0.21025675797148755, gen_loss: 0.5939666920194501: : 1000it [17:22,  1.04s/it]   
Epoch: 58, disc_loss:  0.18415104925632478, gen_loss: 0.5952652306724013: : 1000it [17:22,  1.04s/it]   
Epoch: 59, disc_loss:  0.18585375975098525, gen_loss: 0.5947856491594984: : 1000it [17:13,  1.03s/it]   
Epoch: 60, disc_loss:  0.19858397866550245, gen_loss: 0.5889847195985024: : 1000it [17:14,  1.03s/it]  
Epoch: 61, disc_loss:  0.1901694577461795, gen_loss: 0.5835104177709212: : 1000it [17:14,  1.03s/it]   
Epoch: 62, disc_loss:  0.18179702265220776, gen_loss: 0.5919914445385598: : 1000it [17:15,  1.04s/it]   
Epoch: 63, disc_loss:  0.19271818788428055, gen_loss: 0.5877188001965221: : 1000it [17:15,  1.04s/it]  
Epoch: 64, disc_loss:  0.19376798783477983, gen_loss: 0.5841155511454532: : 1000it [17:13,  1.03s/it]   
Epoch: 65, disc_loss:  0.18385463028623347, gen_loss: 0.5927274364965004: : 1000it [17:14,  1.03s/it]  
Epoch: 66, disc_loss:  0.18512612431718592, gen_loss: 0.5863211392101488: : 1000it [17:16,  1.04s/it]   
Epoch: 67, disc_loss:  0.181657343747323, gen_loss: 0.5877389546026264: : 1000it [17:15,  1.04s/it]     
Epoch: 68, disc_loss:  0.1833034806450208, gen_loss: 0.5831699748415696: : 1000it [17:14,  1.03s/it]    
Epoch: 69, disc_loss:  0.175602811323969, gen_loss: 0.5773545826108832: : 1000it [17:13,  1.03s/it]     
Epoch: 70, disc_loss:  0.18204531086118597, gen_loss: 0.5872873845225887: : 1000it [17:15,  1.04s/it]  
Epoch: 71, disc_loss:  0.18227415494751512, gen_loss: 0.5896116223042471: : 1000it [17:15,  1.04s/it]   
Epoch: 72, disc_loss:  0.1787215944444924, gen_loss: 0.5927801659232692: : 1000it [17:13,  1.03s/it]    
Epoch: 73, disc_loss:  0.18703432195542152, gen_loss: 0.5964238235197569: : 1000it [17:14,  1.03s/it]   
Epoch: 74, disc_loss:  0.18638764174360978, gen_loss: 0.5958929153074298: : 1000it [17:16,  1.04s/it]   
Epoch: 75, disc_loss:  0.18303909441881014, gen_loss: 0.5875328643489303: : 1000it [17:17,  1.04s/it]  
Epoch: 76, disc_loss:  0.1761319915662732, gen_loss: 0.5864270337631828: : 1000it [17:18,  1.04s/it]    
Epoch: 77, disc_loss:  0.17915553805075193, gen_loss: 0.5919208042349732: : 1000it [17:18,  1.04s/it]   
Epoch: 78, disc_loss:  0.18306565303028677, gen_loss: 0.5863341155752801: : 1000it [17:15,  1.04s/it]   
Epoch: 79, disc_loss:  0.187178556547876, gen_loss: 0.5912692704117088: : 1000it [17:15,  1.04s/it]     
Epoch: 80, disc_loss:  0.19667043371158735, gen_loss: 0.5832987457722948: : 1000it [17:16,  1.04s/it]   
Epoch: 81, disc_loss:  0.17982480583483712, gen_loss: 0.5864208078593538: : 1000it [17:16,  1.04s/it]   
Epoch: 82, disc_loss:  0.17940220181879243, gen_loss: 0.5750609795252483: : 1000it [17:16,  1.04s/it]   
Epoch: 83, disc_loss:  0.1847999776925957, gen_loss: 0.581591270942437: : 1000it [17:21,  1.04s/it]     
Epoch: 84, disc_loss:  0.19507499656133484, gen_loss: 0.5883473753563144: : 1000it [17:19,  1.04s/it]   
Epoch: 85, disc_loss:  0.18678577586224204, gen_loss: 0.5814169064111877: : 1000it [17:23,  1.04s/it]  
